state,holiday,start,end
Baden-Württemberg,Osterferien,2021-04-06,2021-04-10
Baden-Württemberg,Pfingstferien,2021-05-25,2021-06-05
Baden-Württemberg,Sommerferien,2021-07-29,2021-09-11
Baden-Württemberg,Herbstferien,2021-11-02,2021-11-06
Baden-Württemberg,Weihnachtsferien,2021-12-23,2022-01-08
Bayern,Osterferien,2021-03-29,2021-04-10
Bayern,Pfingstferien,2021-05-25,2021-06-04
Bayern,Sommerferien,2021-07-30,2021-09-13
Bayern,Herbstferien,2021-11-02,2021-11-05
Bayern,Herbstferien,2021-11-17,2021-11-17
Bayern,Weihnachtsferien,2021-12-24,2022-01-08
Berlin,Winterferien,2021-02-01,2021-02-06
Berlin,Osterferien,2021-03-29,2021-04-10
Berlin,Pfingstferien,2021-05-14,2021-05-14
Berlin,Sommerferien,2021-06-24,2021-08-06
Berlin,Herbstferien,2021-10-11,2021-10-23
Berlin,Weihnachtsferien,2021-12-23,2021-12-31
Brandenburg,Winterferien,2021-02-01,2021-02-06
Brandenburg,Osterferien,2021-03-29,2021-04-09
Brandenburg,Sommerferien,2021-06-24,2021-08-07
Brandenburg,Herbstferien,2021-10-11,2021-10-23
Brandenburg,Weihnachtsferien,2021-12-23,2021-12-31
Bremen,Winterferien,2021-02-01,2021-02-02
Bremen,Osterferien,2021-03-27,2021-04-10
Bremen,Pfingstferien,2021-05-14,2021-05-14
Bremen,Pfingstferien,2021-05-25,2021-05-25
Bremen,Sommerferien,2021-07-22,2021-09-01
Bremen,Herbstferien,2021-10-18,2021-10-30
Bremen,Weihnachtsferien,2021-12-23,2022-01-08
Hamburg,Winterferien,2021-01-29,2021-01-29
Hamburg,Osterferien,2021-03-01,2021-03-12
Hamburg,Pfingstferien,2021-05-10,2021-05-14
Hamburg,Sommerferien,2021-06-24,2021-08-04
Hamburg,Herbstferien,2021-10-04,2021-10-15
Hamburg,Weihnachtsferien,2021-12-23,2022-01-04
Hessen,Osterferien,2021-04-06,2021-04-16
Hessen,Sommerferien,2021-07-19,2021-08-27
Hessen,Herbstferien,2021-10-11,2021-10-23
Hessen,Weihnachtsferien,2021-12-23,2022-01-08
Mecklenburg-Vorpommern,Winterferien,2021-02-06,2021-02-18
Mecklenburg-Vorpommern,Winterferien,2021-02-19,2021-02-19
Mecklenburg-Vorpommern,Osterferien,2021-03-29,2021-04-07
Mecklenburg-Vorpommern,Pfingstferien,2021-05-14,2021-05-14
Mecklenburg-Vorpommern,Pfingstferien,2021-05-21,2021-05-25
Mecklenburg-Vorpommern,Sommerferien,2021-06-21,2021-07-31
Mecklenburg-Vorpommern,Herbstferien,2021-10-02,2021-10-09
Mecklenburg-Vorpommern,Herbstferien,2021-11-01,2021-11-01
Mecklenburg-Vorpommern,Herbstferien,2021-11-02,2021-11-02
Mecklenburg-Vorpommern,Weihnachtsferien,2021-12-22,2021-12-31
Niedersachsen,Winterferien,2021-02-01,2021-02-02
Niedersachsen,Osterferien,2021-03-29,2021-04-09
Niedersachsen,Pfingstferien,2021-05-14,2021-05-14
Niedersachsen,Pfingstferien,2021-05-25,2021-05-25
Niedersachsen,Sommerferien,2021-07-22,2021-09-01
Niedersachsen,Herbstferien,2021-10-18,2021-10-29
Niedersachsen,Weihnachtsferien,2021-12-23,2022-01-07
Nordrhein-Westfalen,Osterferien,2021-03-29,2021-04-10
Nordrhein-Westfalen,Pfingstferien,2021-05-25,2021-05-25
Nordrhein-Westfalen,Sommerferien,2021-07-05,2021-08-17
Nordrhein-Westfalen,Herbstferien,2021-10-11,2021-10-23
Nordrhein-Westfalen,Weihnachtsferien,2021-12-24,2022-01-08
Rheinland-Pfalz,Osterferien,2021-03-29,2021-04-06
Rheinland-Pfalz,Pfingstferien,2021-05-25,2021-06-02
Rheinland-Pfalz,Sommerferien,2021-07-19,2021-08-27
Rheinland-Pfalz,Herbstferien,2021-10-11,2021-10-22
Rheinland-Pfalz,Weihnachtsferien,2021-12-23,2021-12-31
Saarland,Winterferien,2021-02-15,2021-02-19
Saarland,Osterferien,2021-03-29,2021-04-07
